item_id,item_name,cost_price,current_price,competitor_prices,target_margin_percent,stock_level,hourly_sales,price_elasticity
APP10000,Adidas T-Shirt,36.22,71.01,"[63.68, 73.11, 75.95]",25,50,"[5, 13, 16, 11, 15, 15]",-0.62
APP10001,Under Armour Jacket,10.05,20.04,"[17.08, 20.71, 20.75]",20,50,"[13, 14, 7, 21, 14, 15]",-0.78
APP10002,Adidas Socks,57.62,89.91,"[76.78, 91.62, 101.84]",15,100,"[22, 22, 29, 32, 24, 26]",-1.72
APP10003,GAP Sweater,22.76,41.07,"[37.47, 40.15, 41.9]",15,50,"[23, 26, 17, 15, 25, 20]",-1.79
APP10004,Nike Jeans,29.67,48.49,"[42.3, 43.27, 52.89]",20,5000,"[21, 25, 32, 31, 31, 28]",-1.2
APP10005,Under Armour Socks,7.05,13.22,"[12.32, 13.82, 13.11]",35,5000,"[13, 15, 9, 14, 10, 6]",-0.98
APP10006,Nike Socks,49.29,89.55,"[87.6, 89.38, 90.16]",20,50,"[17, 17, 30, 12, 14, 19]",-1.29
APP10007,Uniqlo Sweater,47.79,65.11,"[67.04, 68.91, 73.76]",20,1000,"[16, 19, 15, 15, 20, 14]",-0.71
APP10008,Zara Track Pants,32.26,41.55,"[38.16, 40.64, 45.51]",25,1000,"[11, 5, 20, 11, 7, 7]",-2.16
APP10009,Nike Sneakers,25.31,41.67,"[36.23, 38.59, 40.47]",30,100,"[2, 11, 11, 23, 11, 12]",-2.21
APP10010,Levi's Hoodie,44.26,88.01,"[81.2, 92.55, 94.92]",20,100,"[17, 3, 12, 20, 6, 8]",-2.42
